,systemA,systemB,systemC,systemD,systemE,systemF,systemG,systemH,systemI
0,10.0,5.0,100.0,5.0,5.0,10.0,15.0,20.0,30.0
1,200.0,5.0,100.0,5.0,5.0,10.0,15.0,20.0,30.0
2,10.0,20.0,100.0,5.0,5.0,10.0,15.0,20.0,30.0
3,200.0,20.0,100.0,5.0,5.0,10.0,15.0,20.0,30.0
4,10.0,5.0,200.0,5.0,5.0,10.0,15.0,20.0,30.0
5,200.0,5.0,200.0,5.0,5.0,10.0,15.0,20.0,30.0
6,10.0,20.0,200.0,5.0,5.0,10.0,15.0,20.0,30.0
7,200.0,20.0,200.0,5.0,5.0,10.0,15.0,20.0,30.0
8,10.0,5.0,100.0,10.0,5.0,10.0,15.0,20.0,30.0
9,200.0,5.0,100.0,10.0,5.0,10.0,15.0,20.0,30.0
10,10.0,20.0,100.0,10.0,5.0,10.0,15.0,20.0,30.0
11,200.0,20.0,100.0,10.0,5.0,10.0,15.0,20.0,30.0
12,10.0,5.0,200.0,10.0,5.0,10.0,15.0,20.0,30.0
13,200.0,5.0,200.0,10.0,5.0,10.0,15.0,20.0,30.0
14,10.0,20.0,200.0,10.0,5.0,10.0,15.0,20.0,30.0
15,200.0,20.0,200.0,10.0,5.0,10.0,15.0,20.0,30.0
16,10.0,5.0,100.0,5.0,50.0,10.0,15.0,20.0,30.0
17,200.0,5.0,100.0,5.0,50.0,10.0,15.0,20.0,30.0
18,10.0,20.0,100.0,5.0,50.0,10.0,15.0,20.0,30.0
19,200.0,20.0,100.0,5.0,50.0,10.0,15.0,20.0,30.0
20,10.0,5.0,200.0,5.0,50.0,10.0,15.0,20.0,30.0
21,200.0,5.0,200.0,5.0,50.0,10.0,15.0,20.0,30.0
22,10.0,20.0,200.0,5.0,50.0,10.0,15.0,20.0,30.0
23,200.0,20.0,200.0,5.0,50.0,10.0,15.0,20.0,30.0
24,10.0,5.0,100.0,10.0,50.0,10.0,15.0,20.0,30.0
25,200.0,5.0,100.0,10.0,50.0,10.0,15.0,20.0,30.0
26,10.0,20.0,100.0,10.0,50.0,10.0,15.0,20.0,30.0
27,200.0,20.0,100.0,10.0,50.0,10.0,15.0,20.0,30.0
